y        x
1232.9600391638232 -20
1034.1197663354596 -19
948.2099943172552 -18
879.9676248611231 -17
732.4277887034175 -16
672.4757992025225 -15
594.27187705462 -14
477.9115274655154 -13
386.18369224392245 -12
369.78607094371864 -11
334.7637396237319 -10
220.35564293083735 -9
180.32162056715157 -8
204.5985116203937 -7
88.43885819531053 -6
57.00451679315455 -5
132.14417663044992 -4
-26.587890750577053 -3
39.87630441027429 -2
-67.12769810029916 -1
-20.893696182999573 0
55.628830886867796 1
54.75027445768352 2
-4.539205263838422 3
32.12054444563844 4
77.8081564843714 5
63.966384579643645 6
166.327700177135 7
269.9652052224576 8
195.56654772570568 9
230.64634221563506 10
373.08853109533766 11
427.83068411203993 12
570.151547617184 13
582.3873237330047 14
673.2269100222946 15
761.3194138639559 16
832.3287816578095 17
995.5560494408885 18
1036.6571137434792 19
